Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count
1,Ashley Ali,"TensorFlow, NLP, Pytorch",10,B.Sc,None,AI Researcher,Hire,104895,8
2,Wesley Roman,"Deep Learning, Machine Learning, Python, SQL",10,MBA,Google ML,Data Scientist,Hire,113002,1
3,Corey Sanchez,"Ethical Hacking, Cybersecurity, Linux",1,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,71766,7
4,Elizabeth Carney,"Python, Pytorch, TensorFlow",7,B.Tech,AWS Certified,AI Researcher,Hire,46848,0
5,Julie Hill,"SQL, React, Java",4,PhD,None,Software Engineer,Hire,87441,9
6,Samantha Santos,"Cybersecurity, Networking, Linux, Ethical Hacking",10,B.Tech,Google ML,Cybersecurity Analyst,Hire,47957,5
7,Tony Smith,"Networking, Cybersecurity, Ethical Hacking",4,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,66208,9
8,Anthony Harrison,"TensorFlow, Pytorch, NLP",3,M.Tech,AWS Certified,AI Researcher,Hire,103006,7
9,Nancy Jenkins,"Networking, Ethical Hacking",7,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,92270,3
10,Courtney Gibson,"Python, TensorFlow, Pytorch, NLP",0,M.Tech,AWS Certified,AI Researcher,Reject,60579,1
11,Laura French,"SQL, Java, C++",1,PhD,Deep Learning Specialization,Software Engineer,Hire,88945,7
12,Ralph Barrera,"Cybersecurity, Ethical Hacking, Networking",0,MBA,Google ML,Cybersecurity Analyst,Reject,62708,5
13,David Diaz,"Cybersecurity, Networking",0,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,42077,9
14,Caitlin Myers,"SQL, C++, Java",4,B.Sc,Deep Learning Specialization,Software Engineer,Hire,50410,10
15,Tammy Pineda,"Pytorch, NLP",0,M.Tech,Deep Learning Specialization,AI Researcher,Reject,96555,5
16,Courtney Cook,"Cybersecurity, Networking",1,PhD,Google ML,Cybersecurity Analyst,Reject,51388,6
17,Megan Brown,"SQL, Python",10,PhD,None,Data Scientist,Hire,115364,2
18,Frances Davis MD,"Linux, Networking, Cybersecurity, Ethical Hacking",3,B.Tech,None,Cybersecurity Analyst,Hire,66379,6
19,Jonathon Pineda,"SQL, Python, Deep Learning",3,MBA,None,Data Scientist,Hire,112439,10
20,Jennifer Collins,"Machine Learning, SQL, Python",10,B.Tech,Deep Learning Specialization,Data Scientist,Hire,53167,9
21,Nichole Welch,"SQL, Java, C++, React",5,B.Sc,None,Software Engineer,Hire,57546,4
22,Amber Davis,"Python, TensorFlow, Pytorch, NLP",6,B.Sc,Google ML,AI Researcher,Hire,106352,10
23,William Clark,"Machine Learning, Deep Learning, SQL",4,MBA,AWS Certified,Data Scientist,Hire,107045,8
24,Taylor Williams,"TensorFlow, Pytorch, NLP, Python",8,MBA,Deep Learning Specialization,AI Researcher,Hire,94384,0
25,Lori Johnson,"Pytorch, TensorFlow, NLP, Python",0,B.Tech,Deep Learning Specialization,AI Researcher,Hire,91064,10
26,Roy Huang,"Python, NLP",7,B.Tech,Deep Learning Specialization,AI Researcher,Hire,68447,10
27,Christopher Ayers,"Ethical Hacking, Cybersecurity",3,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Reject,76203,2
28,Shaun Gomez,"Pytorch, NLP",1,M.Tech,None,AI Researcher,Reject,41731,5
29,Claudia Harris,"NLP, Pytorch, Python",10,B.Tech,Google ML,AI Researcher,Hire,119307,2
30,Steven Thomas,"SQL, Python",10,B.Tech,AWS Certified,Data Scientist,Hire,59926,4
31,Abigail Watts,"Python, SQL",4,PhD,None,Data Scientist,Hire,84679,10
32,Logan Mcclure,"Ethical Hacking, Networking, Linux",1,B.Sc,None,Cybersecurity Analyst,Hire,58606,10
33,Elizabeth Serrano,"Deep Learning, Machine Learning, SQL, Python",8,M.Tech,AWS Certified,Data Scientist,Hire,51283,4
34,Maria Glover,"TensorFlow, Python, Pytorch",9,B.Sc,Deep Learning Specialization,AI Researcher,Hire,99521,4
